Id,Name,Desc,Type,Race,Archetype,Attribute,Atk,Def,Level,Price
8949584,A Hero Lives,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",Spell Card,Normal,Elemental HERO,,,,,0.17
295517,A Legendary Ocean,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",Spell Card,Field,Umi,,,,,0.16
32207100,A Major Upset,Tribute 1 face-up Attack Position Level 2 or lower monster you control; return all Level 7 or higher Special Summoned monsters to the hand.,Trap Card,Normal,,,,,,0.10
51351302,A Man with Wdjat,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",Effect Monster,Spellcaster,,DARK,1600,1600,4,0.16
5728014,A Rival Appears!,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.,Trap Card,Normal,,,,,,0.17
23587624,A Wild Monster Appears!,"If your opponent controls a monster and you control no monsters: Special Summon from your hand, 1 monster with an original Level of 10 or lower that cannot be Normal Summoned/Set, ignoring its Summoning conditions. It is unaffected by the effects of your cards, except for its own effects and this card's, also shuffle it into the Deck during your opponent's next End Phase. For the rest of this turn, you cannot Normal Summon/Set or Special Summon monsters, and your opponent takes no damage.",Spell Card,Normal,,,,,,0.13
28596933,A Wingbeat of Giant Dragon,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",Spell Card,Normal,,,,,,0.18
30012506,A-Assault Core,"Once per turn, you can either: Target 1 LIGHT Machine monster you control; equip this card to that target, OR: Unequip this card and Special Summon it. A monster equipped with this card is unaffected by your opponent's monster effects (except its own), also if the equipped monster would be destroyed by battle or card effect, destroy this card instead. If this card is sent from the field to the GY: You can add 1 other Union monster from your GY to your hand.",Union Effect Monster,Machine,ABC,LIGHT,1900,200,4,0.96
13026402,A-Team: Trap Disposal Unit,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",Effect Monster,Machine,,FIRE,300,400,2,0.12
65172015,A-to-Z-Dragon Buster Cannon,"""ABC-Dragon Buster"" + ""XYZ-Dragon Cannon""
Must be Special Summoned (from your Extra Deck) by banishing cards you control with the above original names, and cannot be Special Summoned by other ways. (You do not use ""Polymerization"".) During either player's turn, when your opponent activates a Spell/Trap Card, or monster effect: You can discard 1 card; negate the activation, and if you do, destroy that card. During either player's turn: You can banish this card, then target 1 each of your banished ""ABC-Dragon Buster"", and ""XYZ-Dragon Cannon""; Special Summon them.",Fusion Monster,Machine,ABC,LIGHT,4000,4000,10,0.48
28645123,A.I. Challenge You,,Trap Card,Continuous,A.I.,,,,,0.14
10493654,A.I. Contact,"If ""Ignister A.I.Land"" is in your Field Zone: Reveal 1 ""Ignister A.I. Land"" in your hand; place it on the bottom of the Deck, then draw 3 cards. You can only activate 1 ""A.I. Contact"" per turn.",Spell Card,Normal,@Ignister,,,,,0.30
59332125,A.I. Love Fusion,"Fusion Summon 1 Cyberse Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If you use your ""@Ignister"" monster as Fusion Material, you can also use 1 Link Monster your opponent controls as material. You can only activate 1 ""A.I. Love Fusion"" per turn.",Spell Card,Normal,@Ignister,,,,,0.18
6552971,A.I. Meet You,,Spell Card,Normal,A.I.,,,,,0.20
77421977,A.I. Shadow,"Activate this card by targeting 1 ""@Ignister"" monster you control. That monster gains 800 ATK, also all monsters your opponent controls must attack that monster you control, if able. If this face-up card in its owner's Spell & Trap Zone has left the field because of an opponent's effect, and is now in the GY or banished: Draw 1 card. You can only use this effect of ""A.I. Shadow"" once per turn.",Trap Card,Continuous,@Ignister,,,,,0.13
85327820,A.I.'s Ritual,"This card can be used to Ritual Summon any Cyberse Ritual Monster. You must also Tribute ""@Ignister"" monsters from your hand or field whose total Levels equal or exceed the Level of the Ritual Monster you Ritual Summon. If you control an ""@Ignister"" monster when this effect is activated, you can also use ""@Ignister"" monster(s) in your GY, by banishing them.",Spell Card,Ritual,@Ignister,,,,,0.15
54374642,A.I.'s Show,"When an opponent's monster declares an attack while you control a Link-3 or higher ""@Ignister"" monster in the Extra Monster Zone: Special Summon any number of non-Link Cyberse monsters with 2300 ATK from your Extra Deck, whose total ATK is less than or equal to the attacking monster's ATK, then end the Battle Phase.",Trap Card,Normal,A.I.,,,,,0.00
22933016,A.I.dle Reborn,"Target 1 ""@Ignister"" monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of this turn after this card resolves, except Cyberse monsters. When an attack is declared involving 2 monsters: You can banish this card from your GY and 1 card from your hand, then target 1 of your ""A.I."" Spells/Traps that is banished or in your GY, except ""A.I.dle Reborn""; add that card to your hand. You can only use each effect of ""A.I.dle Reborn"" once per turn.",Spell Card,Quick-Play,@Ignister,,,,,0.32
69381150,A.I.Q,"Activate this card only if you control an ""@Ignister"" monster. Each player can only Link Summon once per turn while this card is face-up in the Spell & Trap Zone. Once per turn, during your Standby Phase, Tribute 1 Link Monster or destroy this card.",Trap Card,Continuous,@Ignister,,,,,0.16
96146814,A/D Changer,"You can banish this card from your Graveyard, then target 1 monster on the field; change its battle position.",Effect Monster,Warrior,,LIGHT,100,100,1,0.19
12694768,Abaki,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.",Effect Monster,Fiend,,FIRE,1700,1100,4,0.18
89718302,Abare Ushioni,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",Effect Monster,Beast-Warrior,,EARTH,1200,1200,4,0.17
1561110,ABC-Dragon Buster,"""A-Assault Core"" + ""B-Buster Drake"" + ""C-Crush Wyvern""
Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control and/or from your GY. (You do not use ""Polymerization"".) Once per turn (Quick Effect): You can discard 1 card, then target 1 card on the field; banish it. During your opponent's turn (Quick Effect): You can Tribute this card, then target 3 of your banished LIGHT Machine Union monsters with different names; Special Summon them.",Fusion Monster,Machine,ABC,LIGHT,3000,2800,8,0.60
80801743,Abominable Chamber of the Unchained,"Special Summon 1 ""Unchained"" monster from your hand or GY. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abominable Chamber of the Unchained"" once per turn.",Trap Card,Normal,Unchained,,,,,0.18
1966438,Abominable Unchained Soul,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field.",Effect Monster,Fiend,,DARK,3000,1500,8,0.78
27412542,Abomination's Prison,"Add 1 ""Unchained"" card from your Deck to your hand. If this Set card is destroyed by card effect: You can Special Summon 1 ""Unchained"" monster from your Deck. You can only use each effect of ""Abomination's Prison"" once per turn.",Spell Card,Normal,Unchained,,,,,3.25
70832512,Absolute Crusader,If a Level 5 or higher monster(s) is Special Summoned: Tribute this face-up card; destroy that Level 5 or higher monster(s).,Effect Monster,Warrior,,EARTH,1800,1200,4,0.13
27744077,Absolute End,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.",Trap Card,Normal,,,,,,0.16
60990740,Absolute King Back Jack,"During your opponent's turn (Quick Effect): You can banish this card from the GY; excavate the top card of your Deck, and if it is a Normal Trap, Set it to your field. Otherwise, send it to the GY. That Set card can be activated during this turn. If this card is sent to the GY: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn.",Effect Monster,Fiend,,DARK,0,0,1,0.93
71422989,Absorb Fusion,"Add 1 ""Gem-Knight"" card from your Deck to your hand, then you can apply this effect.
● Fusion Summon 1 ""Gem-Knight"" Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your hand or your side of the field.
You can only activate 1 ""Absorb Fusion"" per turn. You cannot Special Summon monsters the turn you activate this card, except ""Gem-Knight"" monsters.",Spell Card,Normal,Gem-,,,,,6.88
3900605,Absorbing Jar,"FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.",Flip Effect Monster,Rock,,EARTH,600,500,3,0.20
49771608,Absorbing Kid from the Sky,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",Effect Monster,Fairy,,LIGHT,1300,1000,4,0.26
67748760,Absorouter Dragon,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn.",Effect Monster,Dragon,Rokket,DARK,1200,2800,7,0.73
15308295,Abyss Actor - Comic Relief,"[ Pendulum Effect ]
You can target 1 ""Abyss Actor"" Pendulum Monster you control and 1 monster your opponent controls; switch control of both monsters, then destroy this card. You can only use this effect of ""Abyss Actor - Comic Relief"" once per turn.
----------------------------------------
[ Monster Effect ]
You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,1000,2000,3,0.15
44179224,Abyss Actor - Curtain Raiser,"[ Pendulum Effect ]
If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel.
----------------------------------------
[ Monster Effect ]
Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,1100,1000,4,1.79
52240819,Abyss Actor - Evil Heel,"[ Pendulum Effect ]
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,3000,2000,8,1.62
88412339,Abyss Actor - Extras,"[ Pendulum Effect ]
If your opponent controls a monster: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Extras"" once per turn.
----------------------------------------
[ Monster Effect ]
You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,100,100,1,0.14
99634927,Abyss Actor - Funky Comedian,"[ Pendulum Effect ]
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Actor"" monster you control; it gains ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,300,200,1,0.28
2368215,Abyss Actor - Hyper Director,"1 ""Abyss Actor"" Pendulum Monster
You can target 1 card in your Pendulum Zone; Special Summon it, then place 1 ""Abyss Actor"" Pendulum Monster with a different name, from your Deck or face-up Extra Deck, to your Pendulum Zone, also you cannot Normal or Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters. You can only use this effect of ""Abyss Actor - Hyper Director"" once per turn.",Link Monster,Fiend,Abyss Actor,DARK,800,,,0.19
24907044,Abyss Actor - Leading Lady,"[ Pendulum Effect ]
Once per turn, when you take battle damage from an opponent's attacking monster: You can activate 1 of these effects;
●That opponent's monster loses ATK equal to the damage you took (even if this card leaves the field).
●Add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand with ATK less than or equal to the damage you took.
----------------------------------------
[ Monster Effect ]
Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell directly from your Deck.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,1500,1000,4,0.17
78310590,Abyss Actor - Mellow Madonna,"[ Pendulum Effect ]
You can pay 1000 LP; add 1 ""Abyss Actor"" Pendulum Monster from your Deck to your hand, except ""Abyss Actor - Mellow Madonna"", also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters (even if this card leaves the field). You can only use this effect of ""Abyss Actor - Mellow Madonna"" once per turn.
----------------------------------------
[ Monster Effect ]
Gains 100 ATK for each ""Abyss Script"" Spell in your GY. You can only use each of the following effects of ""Abyss Actor - Mellow Madonna"" once per turn.
●When a Pendulum Monster you control is destroyed by battle: You can Special Summon this card from your hand.
●If an ""Abyss Script"" Spell Card or effect is activated: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" Pendulum Monster from your Deck, but return it to the hand during the End Phase.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,1800,2500,7,0.21
51028231,Abyss Actor - Sassy Rookie,"[ Pendulum Effect ]
If an ""Abyss Actor"" monster(s) you control would be destroyed by battle or an opponent's card effect, you can destroy this card instead.
----------------------------------------
[ Monster Effect ]
The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,1700,1000,4,0.75
25629622,Abyss Actor - Superstar,"[ Pendulum Effect ]
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell in your GY; add it to your hand.
----------------------------------------
[ Monster Effect ]
When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell directly from your Deck, but it is sent to the GY during the End Phase.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,2500,1800,7,0.18
39024589,Abyss Actor - Trendy Understudy,"[ Pendulum Effect ]
When you Pendulum Summon a monster: You can add 1 face-up Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.
----------------------------------------
[ Monster Effect ]
If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,700,700,2,0.11
7279373,Abyss Actor - Twinkle Little Star,"[ Pendulum Effect ]
You cannot Pendulum Summon monsters, except ""Abyss Actor"" monsters. This effect cannot be negated. Once per turn: You can target 1 ""Abyss Actor"" monster you control; this turn, it can make up to 3 attacks on monsters during each Battle Phase, also other monsters you control cannot attack for the rest of this turn (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
Cannot be destroyed by battle during your turn. This card can make up to 3 attacks on monsters during each Battle Phase.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,1000,1000,4,0.17
51391183,Abyss Actor - Wild Hope,"[ Pendulum Effect ]
Once per turn: You can target 1 ""Abyss Actor"" card in your other Pendulum Zone; its Pendulum Scale becomes 9 until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn.",Pendulum Effect Monster,Fiend,Abyss Actor,DARK,1600,1200,4,0.20
59057953,Abyss Actors Back Stage,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: Add 2 ""Abyss Actor"" Pendulum Monsters with different names from your Deck to your Extra Deck face-up. You can only activate 1 ""Abyss Actors Back Stage"" per turn.",Trap Card,Normal,Abyss Actor,,,,,0.12
4682617,Abyss Actors' Curtain Call,"If an ""Abyss Script"" Spell Card or effect is activated this turn: Add face-up ""Abyss Actor"" Pendulum Monsters from your Extra Deck to your hand, up to the number of ""Abyss Script"" Spells in your GY. Then, you can Special Summon ""Abyss Actor"" Pendulum Monsters from your hand with different names, up to the number of monsters added to the hand by this effect. You cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters. You can only activate 1 ""Abyss Actors' Curtain Call"" per turn.",Trap Card,Normal,Abyss Actor,,,,,0.14
21044178,Abyss Dweller,"2 Level 4 monsters
While this card has a material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn (Quick Effect): You can detach 1 material from this card; your opponent cannot activate any card effects in their GY this turn.",XYZ Monster,Sea Serpent,,WATER,1700,1400,4,1.06
40387124,Abyss Flower,A rarely seen flower that blossoms quietly on the edge of darkness.,Normal Monster,Plant,,EARTH,750,400,2,0.00
77297908,Abyss Playhouse - Fantastic Theater,"You can reveal 1 ""Abyss Actor"" Pendulum Monster and 1 ""Abyss Script"" Spell in your hand; add 1 ""Abyss Script"" Spell from your Deck to your hand, with a different name than that revealed Spell. While you control a Pendulum Summoned ""Abyss Actor"" Pendulum Monster, any monster effect activated by your opponent becomes ""Destroy 1 Set Spell/Trap your opponent controls"". You can only use each effect of ""Abyss Playhouse - Fantastic Theater"" once per turn.",Spell Card,Field,Abyss Actor,,,,,0.16
86578200,Abyss Prop - Wild Wagon,"The first time each ""Abyss Actor"" monster you control would be destroyed by battle each turn, it is not destroyed. Once per turn: You can target 1 ""Abyss Actor"" monster you control; your opponent cannot target it with card effects until the end of their turn (even if this card leaves the field). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can return all cards your opponent controls to the hand.",Spell Card,Continuous,Abyss Actor,,,,,0.22
70564929,Abyss Script - Abysstainment,"You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell in your GY; Set it to your field. You can use this effect of ""Abyss Script - Abysstainment"" up to twice per turn. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Special Summon any number of ""Abyss Actor"" Pendulum Monsters from your Deck.",Spell Card,Continuous,Abyss Actor,,,,,0.24
87390798,Abyss Script - Fantasy Magic,"Target 1 ""Abyss Actor"" monster you control; this turn, every monster that battles it, but is not destroyed, returns to the hand at the end of the Damage Step. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can target 1 card your opponent controls; place it on top of the Deck.",Spell Card,Normal,Abyss Actor,,,,,0.31
50179591,Abyss Script - Fire Dragon's Lair,"Target 1 ""Abyss Actor"" monster you control; if it destroys your opponent's monster by battle this turn, your opponent banishes 3 monsters from their Extra Deck (their choice). If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can look at your opponent's Extra Deck, also banish 1 monster from their Extra Deck. You can only use this effect of ""Abyss Script - Fire Dragon's Lair"" once per turn.",Spell Card,Normal,Abyss Actor,,,,,0.34
23784496,Abyss Script - Opening Ceremony,"Gain 500 LP for each ""Abyss Actor"" monster you control. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can draw until you have 5 cards in your hand. You can only use each effect of ""Abyss Script - Opening Ceremony"" once per turn.",Spell Card,Normal,Abyss Actor,,,,,0.13
13662809,Abyss Script - Rise of the Abyss King,"Target face-up cards on the field, up to the number of Attack Position ""Abyss Actor"" monsters with different names you control; destroy them. If you control a Level 7 or higher ""Abyss Actor"" monster, your opponent cannot activate cards or effects in response to this card's activation. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can add up to 2 ""Abyss Actor"" cards and/or ""Abyss Script"" Spells with different names from your Deck to your hand.",Spell Card,Normal,Abyss Actor,,,,,0.18
41803903,Abyss Script - Romantic Terror,"Return 1 ""Abyss Actor"" Pendulum Monster you control to the hand, and if you do, Special Summon from your Extra Deck in Defense Position, 1 face-up ""Abyss Actor"" Pendulum Monster with a different original name from that monster. If this Set card in its owner's control is destroyed by an opponent's card effect, and you have a face-up ""Abyss Actor"" Pendulum Monster in your Extra Deck: You can Set any number of ""Abyss Script"" Spells directly from your Deck. You can only activate 1 ""Abyss Script - Romantic Terror"" per turn.",Spell Card,Quick-Play,Abyss Actor,,,,,0.10
18318842,Abyss Soldier,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,Effect Monster,Aqua,,WATER,1800,1300,4,4.11
97232518,Abyss Stungray,"Special Summon this card as an Effect Monster (Thunder-Type/LIGHT/Level 5/ATK 1900/DEF 0). (This card is also still a Trap Card.) If Summoned this way, this card cannot be destroyed by battle.",Trap Card,Continuous,,,,,,0.17
88409165,Abyss Warrior,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.",Effect Monster,Aqua,,WATER,1800,1300,4,0.17
19596712,Abyss-scale of Cetus,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Trap effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Spell Card,Equip,Mermail,,,,,0.21
8719957,Abyss-scale of the Kraken,"Equip only to a ""Mermail"" monster. It gains 400 ATK. When a monster effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Spell Card,Equip,Mermail,,,,,0.21
72932673,Abyss-scale of the Mizuchi,"Equip only to a ""Mermail"" monster. It gains 800 ATK. When a Spell effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.",Spell Card,Equip,Mermail,,,,,0.26
